BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJEB24450,cluster18,cluster18,cluster233,cluster250,cluster19,cluster14,2
PRJEB24450,cluster18,cluster18,cluster235,cluster141,cluster119,cluster18,11
PRJEB24450,cluster18,cluster18,cluster239,cluster212,cluster178,cluster18,3
PRJEB24450,cluster18,cluster18,cluster239,cluster223,cluster165,cluster14,8
PRJEB24450,cluster18,cluster192,cluster147,cluster136,cluster137,cluster18,22
PRJEB24450,cluster18,cluster192,cluster147,cluster199,cluster19,cluster18,11
PRJEB24450,cluster18,cluster192,cluster147,cluster213,cluster137,cluster18,4
PRJEB24450,cluster18,cluster192,cluster221,cluster154,cluster137,cluster132,18
PRJEB24450,cluster18,cluster192,cluster221,cluster154,cluster160,cluster18,30
PRJEB24450,cluster18,cluster192,cluster221,cluster200,cluster160,cluster18,40
PRJEB24450,cluster18,cluster192,cluster221,cluster211,cluster160,cluster18,14
PRJEB24450,cluster18,cluster192,cluster221,cluster211,cluster19,cluster132,39
PRJEB24450,cluster18,cluster192,cluster224,cluster154,cluster137,cluster132,10
PRJEB24450,cluster18,cluster192,cluster224,cluster200,cluster160,cluster18,1
PRJEB24450,cluster18,cluster192,cluster234,cluster136,cluster19,cluster18,13
PRJEB24450,cluster18,cluster193,cluster147,cluster136,cluster39,cluster18,17
PRJEB24450,cluster18,cluster206,cluster100,cluster153,cluster19,cluster18,2
PRJEB24450,cluster18,cluster209,cluster20,cluster18,cluster19,cluster18,2
PRJEB24450,cluster18,cluster210,cluster100,cluster174,cluster176,cluster18,1
PRJEB24450,cluster18,cluster213,cluster189,cluster18,cluster19,cluster18,22
PRJEB24450,cluster18,cluster213,cluster291,cluster18,cluster19,cluster18,1
PRJEB24450,cluster18,cluster229,cluster20,cluster240,cluster165,cluster156,2
PRJEB24450,cluster18,cluster235,cluster147,cluster152,cluster39,cluster18,3
PRJEB24450,cluster18,cluster238,cluster136,cluster127,cluster200,cluster18,4
PRJEB24450,cluster18,cluster245,cluster140,cluster175,cluster19,cluster18,1
PRJEB24450,cluster18,cluster26,cluster147,cluster154,cluster19,cluster18,1
PRJEB24450,cluster18,cluster26,cluster286,cluster265,cluster137,cluster18,1
PRJEB24450,cluster18,cluster43,cluster100,cluster154,cluster137,cluster18,19
PRJEB24450,cluster18,cluster43,cluster100,cluster220,cluster183,cluster132,3
PRJEB24450,cluster18,cluster43,cluster100,cluster228,cluster183,cluster18,7
PRJEB24450,cluster18,cluster43,cluster147,cluster136,cluster39,cluster14,1
PRJEB24450,cluster18,cluster43,cluster147,cluster149,cluster39,cluster18,145
PRJEB24450,cluster18,cluster43,cluster147,cluster211,cluster137,cluster18,3
PRJEB24450,cluster18,cluster43,cluster147,cluster255,cluster39,cluster14,1
PRJEB24450,cluster18,cluster43,cluster153,cluster224,cluster183,cluster18,2
PRJEB24450,cluster18,cluster43,cluster153,cluster228,cluster183,cluster18,16
PRJEB24450,cluster18,cluster43,cluster220,cluster149,cluster39,cluster18,150
PRJEB24450,cluster18,cluster43,cluster221,cluster247,cluster137,cluster18,2
PRJEB24450,cluster18,cluster43,cluster235,cluster191,cluster39,cluster14,9
PRJEB24450,cluster18,cluster43,cluster273,cluster149,cluster39,cluster18,1
PRJEB24450,cluster18,cluster43,cluster288,cluster152,cluster39,cluster18,1
PRJEB24450,cluster18,cluster43,none,cluster149,cluster39,cluster18,1
PRJEB24450,cluster18,cluster71,cluster20,cluster175,cluster137,cluster86,9
PRJEB24450,cluster18,cluster71,cluster20,cluster18,cluster165,cluster149,15
PRJEB24450,cluster18,cluster71,cluster20,cluster18,cluster19,cluster18,1
PRJEB24450,cluster18,cluster71,cluster20,cluster18,cluster19,cluster86,6
PRJEB24450,cluster18,cluster71,cluster219,cluster175,cluster137,cluster86,9
PRJEB24450,cluster18,cluster71,cluster219,cluster18,cluster19,cluster86,6
PRJEB24450,cluster18,cluster71,cluster240,cluster175,cluster19,cluster14,12
PRJEB24450,cluster18,cluster71,cluster254,cluster141,cluster19,cluster18,2
PRJEB24450,cluster18,cluster71,cluster258,cluster235,cluster19,cluster18,2
PRJEB24450,cluster18,cluster79,cluster100,cluster211,cluster137,cluster18,4
PRJEB24450,cluster18,cluster79,cluster153,cluster211,cluster137,cluster18,18
PRJEB24450,cluster18,cluster79,cluster198,cluster136,cluster19,cluster18,10
PRJEB24450,cluster18,cluster79,cluster257,cluster211,cluster137,cluster18,1
PRJEB24450,cluster18,cluster79,cluster28,cluster136,cluster19,cluster18,3
PRJEB24450,cluster5,cluster227,cluster262,cluster239,cluster193,cluster6,1
PRJEB24450,cluster79,cluster209,cluster289,cluster268,cluster165,cluster18,1
PRJEB24450,cluster8,cluster224,cluster256,cluster234,cluster20,cluster6,1
PRJEB24450,cluster8,cluster24,cluster10,cluster75,cluster20,cluster6,2
PRJEB24450,cluster88,cluster43,cluster153,cluster233,cluster183,cluster18,1
PRJEB24450,cluster88,cluster43,cluster237,cluster154,cluster19,cluster18,30
PRJEB24450,cluster88,cluster43,cluster238,cluster154,cluster19,cluster18,1
PRJEB24450,cluster99,cluster212,cluster242,cluster215,cluster147,cluster111,1
PRJEB24889,cluster2,cluster46,cluster80,cluster76,cluster71,cluster11,1
PRJEB24889,cluster2,cluster46,cluster83,cluster77,cluster11,cluster4,1
PRJEB24889,cluster4,cluster5,cluster5,cluster5,cluster164,cluster5,1
PRJEB59188,cluster10,cluster14,cluster15,cluster9,cluster13,cluster5,1
PRJEB6503,cluster2,cluster2,cluster14,cluster13,cluster11,cluster11,1
PRJNA1003870,cluster18,cluster43,cluster147,cluster149,cluster39,cluster18,2
PRJNA1013226,cluster12,cluster5,cluster8,cluster8,cluster14,cluster5,1
PRJNA1018409,cluster111,cluster187,cluster202,cluster186,cluster57,cluster4,1
PRJNA1018409,cluster12,cluster5,cluster8,cluster8,cluster14,cluster125,1
PRJNA1018409,cluster12,cluster5,cluster8,cluster8,cluster14,cluster5,99
PRJNA1018409,cluster2,cluster12,cluster11,cluster62,cluster11,cluster127,1
PRJNA1018409,cluster2,cluster12,cluster205,cluster190,cluster11,cluster64,1
PRJNA1018409,cluster2,cluster188,cluster77,cluster187,cluster6,cluster4,1
PRJNA1018409,cluster2,cluster189,cluster206,cluster62,cluster11,cluster9,1
PRJNA1018409,cluster48,cluster64,cluster203,cluster158,cluster69,cluster108,1
PRJNA1018409,cluster5,cluster51,cluster57,cluster189,cluster6,cluster126,1
PRJNA1018409,cluster5,cluster6,cluster190,cluster20,cluster6,cluster34,1
PRJNA1018409,cluster5,cluster6,cluster204,cluster71,cluster6,cluster88,1
PRJNA1018409,cluster7,cluster124,cluster8,cluster188,cluster14,cluster5,3
PRJNA1021016,cluster12,cluster5,cluster8,cluster8,cluster14,cluster5,2
PRJNA1022518,cluster12,cluster5,cluster8,cluster8,cluster14,cluster5,1
PRJNA1025040,cluster12,cluster5,cluster8,cluster8,cluster14,cluster5,1
PRJNA1041598,cluster18,cluster126,cluster136,cluster127,cluster19,cluster18,2
PRJNA1041598,cluster18,cluster190,cluster207,cluster18,cluster119,cluster18,1
PRJNA1041598,cluster5,cluster3,cluster27,cluster67,cluster3,cluster3,1
PRJNA1051622,cluster10,cluster191,cluster208,cluster9,cluster13,cluster5,1
PRJNA1070346,cluster112,cluster194,cluster144,cluster136,cluster39,cluster18,1
PRJNA1070346,cluster112,cluster43,cluster147,cluster136,cluster39,cluster18,1
PRJNA1070346,cluster113,cluster126,cluster140,cluster195,cluster19,cluster18,1
PRJNA1070346,cluster114,cluster126,cluster212,cluster18,cluster137,cluster128,1
PRJNA1070346,cluster115,cluster195,cluster214,cluster140,cluster19,cluster18,1
PRJNA1070346,cluster18,cluster168,cluster153,cluster90,cluster19,cluster18,1
PRJNA1070346,cluster18,cluster18,cluster152,cluster192,cluster19,cluster18,10
PRJNA1070346,cluster18,cluster18,cluster210,cluster193,cluster159,cluster18,1
PRJNA1070346,cluster18,cluster18,cluster211,cluster18,cluster19,cluster18,4
PRJNA1070346,cluster18,cluster192,cluster198,cluster154,cluster160,cluster18,1
PRJNA1070346,cluster18,cluster192,cluster213,cluster154,cluster19,cluster18,1
PRJNA1070346,cluster18,cluster193,cluster147,cluster191,cluster39,cluster14,1
